teleplay_id,name,genre,type,episodes,rating,members
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,6.4132,341
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,6.7869,8230
33909,Marine Dreamin&#039;,Music,Music,1,5.9887000000000015,126
10585,Chuunen Punk,Music,Music,1,5.446299999999997,308
28993,Hand Soap,"Dementia, Psychological",long,1,4.332400000000001,246
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,6.5245999999999995,80394
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,5.299700000000001,806
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,6.2833000000000006,1775
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,6.2780999999999985,315
3034,Kurai Mirai,Restricted,short,2,6.282599999999993,2004
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,7.344199999999997,69000
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,5.505300000000001,450
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,6.854000000000001,2399
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,6.425549999999998,60
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,6.770199999999996,8025
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,6.752500000000002,98544
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,6.482,2030
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.162899999999997,1604
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,5.882300000000002,781
14207,Lovely Series,Restricted,short,2,4.868500000000004,174
1883,Kappa no Kaikata,Comedy,medium,26,6.914299999999997,1209
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,7.131200000000002,4019
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,5.341060000000007,96
710,Rec,"Comedy, Drama, Romance",medium,9,6.7664,68951
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,6.398200000000003,2202
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,4.702939999999994,92
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,6.774699999999999,4106
5040,One Outs,"Psychological, Seinen, Sports",medium,25,7.443099999999999,83056
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.7252000000000045,677
32065,Kimi no Sumu Machi,Comedy,Special,1,5.897900000000001,398
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,6.4803,42918
3550,Midori no Makibao,"Comedy, Sports",medium,61,6.753999999999995,488
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,6.723800000000001,15887
28053,Kumo no Ito,Fantasy,long,1,5.7424000000000035,158
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,6.474800000000001,156116
23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,5.783816666666667,67
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,6.9709,537892
24675,Future Card Buddyfight Recap,Game,Special,1,5.5943,277
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,7.007100000000001,7680
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,7.068699999999999,2396
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,6.584399999999996,3550
9558,Cheung gong chat hou,Kids,long,1,5.765899999999996,215
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,7.220499999999999,6768
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,6.838899999999999,90612
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,6.8216,1177
2366,Touma Kishinden Oni,Supernatural,medium,25,6.3937000000000035,303
9340,Cheburashka,Comedy,long,1,5.947300000000001,545
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.359899999999999,1829
9242,Nine: Original Han,"Action, School, Sports",long,1,6.192799999999998,158
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,6.000624999999998,141
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,6.463499999999999,661
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,7.160299999999996,11015
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,6.5872999999999955,186
33870,Kabi Usagi: Game Center,Comedy,ONA,1,3.9179000000000004,39
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,6.682000000000003,53706
9916,Samurai Giants,Sports,medium,46,6.669199999999998,319
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,7.092300000000005,6308
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,7.380600000000003,62530
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,6.268699999999996,2167
1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,6.351899999999996,1973
1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,6.905400000000004,3462
33878,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om","Comedy, Police",Special,1,6.902300000000005,101
33811,Teekyuu 8,"Comedy, Shounen, Sports",medium,12,6.902599999999996,3961
5928,Kigyou Senshi Yamazaki: Long Distance Call,"Drama, Sci-Fi, Seinen",short,1,6.230100000000005,168
8456,Queen&#039;s Blade: Utsukushiki Toushitachi,"Action, Adventure, Ecchi, Fantasy",short,6,6.7193000000000005,11540
1376,Ojamajo Doremi Na-i-sho,"Comedy, Fantasy, Magic, Shoujo",short,13,6.637400000000003,3620
26137,Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita,"Historical, Kids",short,1,6.430099999999998,130
21119,Sister Princess: Re Pure Character&#039;s,"Drama, Romance",Special,12,6.187000000000004,544
8294,Shinshou Genmukan,Restricted,short,4,6.374900000000001,2261
9778,Toriko Hime: Hakudaku Mamire no Reijou,Restricted,short,2,6.754100000000011,3025
386,H2,"Comedy, Romance, Shounen, Sports",medium,41,7.1528,4450
8664,"Slime Boukenki: Umi da, Yeah!","Action, Adventure, Comedy, Fantasy, Game",Special,1,6.572700000000003,403
31128,Arslan Senki (TV): Dakkan no Yaiba,"Action, Adventure, Drama, Fantasy, Historical, Supernatural",Special,1,6.986100000000002,6686
4176,Wanna-Be&#039;s,"Action, Comedy, Sports",short,1,5.661199999999999,763
585,Mimi wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",long,1,7.069499999999997,94435
28247,Pankis! 2-jigen,"Comedy, Music",medium,24,6.278000000000005,331
2733,Mobile Police Patlabor: MiniPato,Parody,short,3,6.163699999999997,1831
23005,Mogura no Motoro,Slice of Life,long,1,6.13495,62
12881,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Harem, Romance, Sci-Fi",short,4,6.142499999999997,550
31422,Minami Kamakura Koukou Joshi Jitensha-bu,"School, Shounen, Sports",medium,Unknown,7.1864000000000035,2216
2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",short,1,6.779300000000003,2049
4926,Marco: Haha wo Tazunete Sanzenri,"Adventure, Drama",long,1,6.682800000000002,1060
3186,Sekai Meisaku Douwa: Hakuchou no Mizuumi,"Drama, Fantasy, Romance",long,1,6.637700000000002,1705
33914,Nineko Gelée: Opening Movie,"Fantasy, Music",Music,1,4.51712666666667,65
33694,Mukidashi no Koushi,"Comedy, Music",ONA,1,4.147633333333333,83
14125,Otogi no Kuni no Birthday,"Kids, Music",Music,1,5.518333333333337,144
3911,Shuukaku no Yoru,Restricted,short,2,5.8973,1558
1490,Ginga Tetsudou Monogatari,"Action, Adventure, Drama, Sci-Fi, Space",medium,26,7.524899999999998,5947
23321,Log Horizon 2nd Season,"Action, Adventure, Fantasy, Game, Magic, Shounen",medium,25,6.892599999999998,215817
13463,Panda no Taputapu,Kids,medium,Unknown,5.538760000000001,131
19569,Junjou Shoujo Et Cetera,Restricted,short,2,6.517199999999998,2640
4191,Popolocrois Monogatari,"Adventure, Fantasy",medium,25,6.8800000000000034,1260
1046,Elf wo Karu Mono-tachi II,"Adventure, Comedy, Fantasy",medium,12,6.384200000000005,8004
30549,Soukyuu no Fafner: Dead Aggressor - Exodus 2nd Season,"Action, Drama, Mecha, Military, Sci-Fi",medium,13,6.8995000000000015,6787
30395,Kuripuri*Kuripura,Comedy,long,1,6.035706666666666,104
1252,Fushigi no Umi no Nadia: Original Movie,"Action, Adventure, Drama, Historical, Mystery, Romance, Sci-Fi",long,1,7.354100000000004,3644
20725,"Lies, Lies.",Music,Music,1,5.1612499999999955,185
2227,Lady Lady!!,"Drama, Historical",medium,21,7.323599999999996,2681
2440,Suki da yo!,Restricted,short,2,5.756899999999993,1201
313,Ace wo Nerae! (1979),"Drama, Romance, School, Shoujo, Sports",long,1,7.056300000000004,1564
13855,Queen&#039;s Blade: Rebellion Specials,Ecchi,Special,6,6.389100000000004,4989
20801,Koakuma Kanojo The Animation,"Restricted, School, Supernatural",short,2,6.852499999999995,6680
17219,Sore Ike! Anpanman: Roll to Laura Ukigumojou no Himitsu,"Comedy, Fantasy, Kids",long,1,5.67679166666666,97
5020,Zettai Shougeki: Platonic Heart,"Action, Ecchi, Martial Arts",short,5,6.717300000000003,10887
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,"Mecha, Military, Sci-Fi, Space",short,3,7.111700000000001,7862
20189,Boku no Son Gokuu,"Adventure, Fantasy, Kids",long,1,5.861400000000002,186
1065,Touch,"Drama, Romance, School, Shounen, Slice of Life, Sports",medium,101,7.599900000000006,12833
19631,Tayu Tayu,"Harem, Restricted, Romance",short,4,6.554500000000003,3579
529,Saishuu Heiki Kanojo,"Drama, Romance, School, Sci-Fi",medium,13,6.689499999999998,58051
9205,Kaichuu!,"Comedy, Seinen, Sports",ONA,4,6.5338,6941
30939,Shiranpuri,"Drama, School",short,1,5.979600000000004,155
33573,BanG Dream!,Music,medium,Unknown,6.549799999999996,1953
6939,Eien no Hou,"Fantasy, Sci-Fi",long,1,6.2757,581
7808,Zukkoke Knight: Don De La Mancha,"Adventure, Comedy, Historical, Romance",medium,23,6.284000000000001,172
16101,"Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo","Fantasy, Seinen",ONA,1,6.384299999999997,3083
4220,Okon Joururi,"Drama, Fantasy, Historical",long,1,5.925000000000003,177
406,Buzzer Beater,"Shounen, Sports",medium,13,6.674200000000001,8439
32668,Noblesse: Awakening,"Action, School, Supernatural, Vampire",ONA,1,6.306099999999999,28864
1503,Mahou Shoujo Pretty Sammy Specials,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Special,7,6.254300000000003,798
14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",medium,13,6.693500000000003,349836
24857,Akagaki Genzou: Tokuri no Wakare,Comedy,long,1,6.090023333333332,87
12679,Joshiraku,"Comedy, Slice of Life",medium,13,6.6395000000000035,51084
2811,Soratobu Yuureisen,"Adventure, Drama, Mecha, Sci-Fi",long,1,7.225699999999996,2634
18817,Yasai no Yousei: Quiz Gekijou,"Comedy, Kids",long,1,5.809106666666671,87
2348,Shitai wo Arau The Animation,Restricted,short,3,5.788600000000002,1410
1655,Nerima Daikon Brothers,"Comedy, Music",medium,12,6.456800000000002,5374
8547,Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,"Comedy, Sci-Fi, Shounen",long,1,6.432283333333336,537
1050,Bobobo-bo Bo-bobo,"Adventure, Comedy, Sci-Fi, Shounen",medium,76,7.470700000000002,39041
3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,long,1,6.7273000000000005,490
18943,Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,"Adventure, Comedy, Fantasy, Kids, Magic",long,1,5.453306666666666,87
2578,TaoTao Ehonkan Sekai Doubutsu Banashi,"Adventure, Comedy, Fantasy, Kids",medium,52,6.620499999999997,656
34122,Minna de Bokumetsu Inshu Unten,Drama,Special,1,5.915019999999999,48
448,Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",short,2,7.273099999999997,29039
10456,Kyoukaisenjou no Horizon,"Action, Fantasy",medium,13,6.527100000000001,90977
9561,Shokupan Mimi,Comedy,medium,12,6.221299999999998,803
16586,Michitekuru Toki no Mukou ni,"Adventure, Fantasy, Romance",Special,1,5.612700000000003,126
8718,Itsumademo Tabibito,"Drama, Music",Music,1,6.123600000000002,226
2317,Hen,"Comedy, Ecchi",short,2,6.211499999999994,2153
8310,Magic Kaito,"Adventure, Comedy, Romance, Shounen",Special,12,6.829200000000001,27274
31927,Phantom of the Kill: Zero kara no Hangyaku,"Action, Adventure, Fantasy",long,1,7.1904999999999974,4893
2762,Igano Kabamaru,"Adventure, Comedy, Romance, Shounen",medium,24,6.902299999999999,5063
5597,Natsu no Arashi!,"Comedy, Romance, Supernatural",medium,13,6.4201000000000015,30098
3470,Special A,"Comedy, Romance, School, Shoujo",medium,24,6.999299999999998,173603
2947,Ojamajo Doremi Sharp Movie,"Kids, Magic, Shoujo",long,1,7.002699999999999,2037
28817,Mikagura Gakuen Kumikyoku,"Action, Comedy, School, Shoujo Ai",medium,12,6.588399999999999,47642
18747,Hotaru Kagayaku,"Drama, Kids",short,1,6.369200000000003,70
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,medium,6,5.939599999999998,566
706,Comic Party Revolution,"Comedy, Drama",medium,13,6.5808,6690
33079,Meikyoku to Dai Sakkyokka Monogatari,"Historical, Music",short,9,5.623800000000001,44
808,Bakuretsu Hunters OVA,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power",short,3,6.587499999999998,3686
33880,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san no Sushi Kuinee! - Choujyou Maguro Taiket,"Comedy, Police",Special,2,6.990399999999999,105
11729,Space Neko Theater,Comedy,ONA,1,5.694200000000006,584
31397,Mesu Kyoushi 4: Kegasareta Kyoudan,Restricted,short,2,6.342575000000005,2444
9866,Oshin,Drama,long,1,5.9711000000000025,221
25681,Kamisama Hajimemashita◎,"Comedy, Demons, Fantasy, Romance, Shoujo, Supernatural",medium,12,6.6286000000000005,91796
621,Night Walker: Mayonaka no Tantei,"Action, Comedy, Horror, Mystery, Vampire",medium,12,4.881999999999997,11143
1606,Kekkaishi,"Adventure, Comedy, Fantasy, Shounen",medium,52,7.267099999999997,61884
23735,Kenzen Robo Daimidaler Specials,"Comedy, Ecchi, Mecha, Seinen",Special,6,6.7624,3816
2101,Singles,"Romance, Shoujo",short,1,5.674600000000001,161
8422,Vampire Knight: Gekiai no Portrait,"Comedy, Shoujo, Vampire",Special,1,5.881700000000004,23727
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,"Drama, Magic, Shoujo",long,1,7.1332,24968
2670,Doraemon Movie 12: Nobita no Dorabian Nights,"Adventure, Comedy, Fantasy, Kids, Shounen",long,1,7.296000000000003,1833
27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,7.034999999999999,106382
22481,Hello Kitty no Kieta Santa-san no Boushi,"Fantasy, Kids",short,1,6.376378333333333,103
1760,Golgo 13,"Action, Adventure, Drama, Military, Seinen",long,1,7.210799999999999,6344
1955,Kimagure Robot,"Comedy, Fantasy, Sci-Fi",medium,10,6.088600000000002,1521
30070,Shiroi Zou (1981),"Action, Historical",long,1,5.635800000000001,73
6893,Oni Chichi,Restricted,short,2,7.128900000000005,23605
4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,6.9513,9610
33012,Island,"Drama, Sci-Fi",medium,Unknown,6.633100000000008,1659
1188,Momoiro Sisters,"Comedy, Slice of Life",medium,24,6.866399999999999,1366
8465,Ichiban Ushiro no Daimaou Specials,"Comedy, Ecchi, Fantasy, Magic, Shounen",Special,6,6.839700000000002,26025
14069,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,Kids,ONA,1,5.097629999999996,104
30089,Zombie Clay Animation: Life of the Dead,"Comedy, Horror",short,4,5.893399999999999,125
28587,Modern,,long,1,5.567,237
5772,Akaneiro ni Somaru Saka: Hardcore,"Comedy, Ecchi, Harem, Romance",Special,1,6.7499999999999964,26925
12745,Bari Bari Densetsu (1987),"Action, Drama, Shounen, Sports",long,1,6.672649999999997,610
1853,Cutey Honey F,"Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo",medium,39,7.068299999999996,3495
31510,Guitar,,long,1,5.918799999999999,47
