teleplay_id,name,genre,type,episodes,rating,members
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,,341
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,,8230
33909,Marine Dreamin&#039;,Music,Music,1,,126
10585,Chuunen Punk,Music,Music,1,,308
28993,Hand Soap,"Dementia, Psychological",long,1,,246
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,,80394
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,,806
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,,1775
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,,315
3034,Kurai Mirai,Restricted,short,2,,2004
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,,69000
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,,450
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,,2399
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,,60
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,,8025
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,,98544
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,,2030
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,,1604
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,,781
14207,Lovely Series,Restricted,short,2,,174
1883,Kappa no Kaikata,Comedy,medium,26,,1209
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,,4019
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,,96
710,Rec,"Comedy, Drama, Romance",medium,9,,68951
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,,2202
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,,92
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,,4106
5040,One Outs,"Psychological, Seinen, Sports",medium,25,,83056
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,,677
32065,Kimi no Sumu Machi,Comedy,Special,1,,398
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,,42918
3550,Midori no Makibao,"Comedy, Sports",medium,61,,488
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,,15887
28053,Kumo no Ito,Fantasy,long,1,,158
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,,156116
23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,,67
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,,537892
24675,Future Card Buddyfight Recap,Game,Special,1,,277
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,,7680
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,,2396
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,,3550
9558,Cheung gong chat hou,Kids,long,1,,215
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,,6768
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,,90612
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,,1177
2366,Touma Kishinden Oni,Supernatural,medium,25,,303
9340,Cheburashka,Comedy,long,1,,545
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,,1829
9242,Nine: Original Han,"Action, School, Sports",long,1,,158
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,,141
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,,661
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,,11015
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,,186
33870,Kabi Usagi: Game Center,Comedy,ONA,1,,39
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,,53706
9916,Samurai Giants,Sports,medium,46,,319
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,,6308
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,,62530
8423,Ookiku Furikabutte: Natsu no Scorebook,"Comedy, Sports",short,2,,2167
1752,Di Gi Charat: Hoshi no Tabi,Comedy,long,1,,1973
1141,Palme no Ki,"Adventure, Drama, Fantasy, Romance",long,1,,3462
