teleplay_id,name,genre,type,episodes,rating,members
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,6.53898286798216,341
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,6.932402154290113,8230
33909,Marine Dreamin&#039;,Music,Music,1,4.604600190115041,126
10585,Chuunen Punk,Music,Music,1,5.491975828106401,308
28993,Hand Soap,"Dementia, Psychological",long,1,5.553958285925756,246
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,6.7481751975913715,80394
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,6.0519110468775095,806
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,6.312045810075044,1775
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,6.21196544663402,315
3034,Kurai Mirai,Restricted,short,2,6.167742415915906,2004
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,7.189149524749319,69000
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,5.794174555685824,450
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,6.504009066065717,2399
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,7.004206823586693,60
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,6.544788178710988,8025
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,7.053793638669615,98544
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,6.20020993821973,2030
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.250978695569665,1604
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,6.569434108762614,781
14207,Lovely Series,Restricted,short,2,5.453552391322597,174
1883,Kappa no Kaikata,Comedy,medium,26,6.683548614105361,1209
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,6.832911404903718,4019
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,4.774136720488234,96
710,Rec,"Comedy, Drama, Romance",medium,9,7.003507846211542,68951
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,6.1249536714777255,2202
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,6.935877711457379,92
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,6.386881779666185,4106
5040,One Outs,"Psychological, Seinen, Sports",medium,25,7.628899491458131,83056
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.755391769907031,677
32065,Kimi no Sumu Machi,Comedy,Special,1,5.790067548565846,398
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,6.724571477178729,42918
3550,Midori no Makibao,"Comedy, Sports",medium,61,7.030587169910706,488
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,7.5611869170675545,15887
28053,Kumo no Ito,Fantasy,long,1,5.259976353516869,158
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,6.887740755278114,156116
23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,6.935063888187346,67
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,6.5781238728149605,537892
24675,Future Card Buddyfight Recap,Game,Special,1,5.5018143772175145,277
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,6.712310495660433,7680
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,6.743402525128563,2396
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,6.38491540634529,3550
9558,Cheung gong chat hou,Kids,long,1,5.195269270008673,215
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,6.986097322469596,6768
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,6.9271762370586885,90612
17147,Gakkatsu! 2nd Season,"Comedy, School",medium,25,6.83371371060523,1177
2366,Touma Kishinden Oni,Supernatural,medium,25,6.151555106757196,303
9340,Cheburashka,Comedy,long,1,5.602073479577259,545
31168,Pokemon XY: Odemashi Ko Majin Hoopa,"Action, Fantasy, Kids",short,1,6.0148436391766875,1829
9242,Nine: Original Han,"Action, School, Sports",long,1,6.301071181884295,158
9500,Starlight Scramble Renai Kouhosei,"Action, Romance, Sci-Fi",short,2,5.891182391694529,141
10342,Tetsuwan Atom: Uchuu no Yuusha,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",long,1,6.09216433920223,661
3931,Initial D Battle Stage 2,"Action, Cars, Drama, Seinen, Sports",short,1,7.1764807499302625,11015
3869,Sakura Momoko Gekijou: Coji-Coji,"Comedy, Fantasy",medium,100,6.045119366620164,186
33870,Kabi Usagi: Game Center,Comedy,ONA,1,5.102731286713484,39
6793,Kuroshitsuji Special,"Comedy, Demons, Parody",Special,1,7.535682775954108,53706
9916,Samurai Giants,Sports,medium,46,6.907417906644486,319
16436,Tenshi no Drop,"Comedy, Ecchi, Shoujo Ai, Shounen",Special,1,7.131433096060614,6308
2002,Heroic Age,"Action, Mecha, Military, Sci-Fi, Space",medium,26,6.9848819846423975,62530
