teleplay_id,name,genre,type,episodes,rating,members
9345,Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!,"Comedy, Horror, School, Supernatural",medium,33,6.475900391167475,341
1793,Kaze no Na wa Amnesia,"Action, Dementia, Drama, Sci-Fi",long,1,7.002466024309716,8230
33909,Marine Dreamin&#039;,Music,Music,1,4.838172968737571,126
10585,Chuunen Punk,Music,Music,1,5.742063437519812,308
28993,Hand Soap,"Dementia, Psychological",long,1,4.511119541725967,246
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen",medium,13,7.024626512338153,80394
7290,Cyborg 009: Kaijuu Sensou,"Action, Adventure, Sci-Fi",long,1,5.991775919091191,806
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life",short,1,6.250329823638134,1775
4054,Norimono Oukoku BuBu ChaCha,"Comedy, Slice of Life",medium,26,6.29924928181673,315
3034,Kurai Mirai,Restricted,short,2,6.214806914928988,2004
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",medium,75,7.343847225991343,69000
5606,Ryoujoku Joshi Gakuen,Restricted,short,2,5.49194518571781,450
3772,Saiko Robot Kombock,"Mecha, Sci-Fi",medium,25,6.634162475770395,2399
30099,Lao Fu Zi Zhi Xiao Shui Hu Chuan Qi,"Comedy, Seinen",long,1,6.800794957495337,60
9723,Hakuouki Hekketsuroku Episode 0,"Action, Drama, Harem, Historical, Josei, Samurai, Supernatural, Vampire",Special,1,6.963892710167918,8025
20847,Seitokai Yakuindomo*,"Comedy, School, Shounen, Slice of Life",medium,13,7.332690395854532,98544
2461,Metal Skin Panic MADOX-01,"Action, Mecha, Sci-Fi",short,1,6.135358823564907,2030
3127,California Crisis: Tsuigeki no Juuka,"Action, Adventure, Comedy",short,1,6.173137020156046,1604
6090,Hon Ran,"Action, Magic, Martial Arts",short,1,5.7584307614386905,781
14207,Lovely Series,Restricted,short,2,4.289888574140379,174
1883,Kappa no Kaikata,Comedy,medium,26,6.48415542015823,1209
1906,Harukanaru Toki no Naka de: Maihitoyo,"Drama, Fantasy, Historical, Magic, Romance, Shoujo, Supernatural",long,1,7.2497428770124195,4019
32803,Dreaming Pupa: Yumemiru Bokura,Music,Music,1,5.087478847393649,96
710,Rec,"Comedy, Drama, Romance",medium,9,7.195432427338868,68951
10764,Buta Himesama,"Fantasy, Restricted, Supernatural",short,1,6.503351109186835,2202
29799,Tabi wa Michizure Yo wa Nasake,Kids,long,1,6.764885394814426,92
1189,Eden&#039;s Bowy,"Action, Adventure, Fantasy, Romance, Sci-Fi",medium,26,6.930343327122232,4106
5040,One Outs,"Psychological, Seinen, Sports",medium,25,7.600178504575467,83056
3434,Hey! Bumboo,"Adventure, Cars, Kids",medium,130,6.612031589081848,677
32065,Kimi no Sumu Machi,Comedy,Special,1,5.730920877099482,398
24037,Selector Spread WIXOSS,"Game, Psychological",medium,12,6.695521436816402,42918
3550,Midori no Makibao,"Comedy, Sports",medium,61,6.713354680985448,488
18121,Teekyuu 2,"Comedy, School, Shounen, Sports",medium,12,7.146846023735984,15887
28053,Kumo no Ito,Fantasy,long,1,5.667302556319327,158
14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",medium,13,6.879302530697633,156116
23635,Poppoya-san: Nonki Kikanshi,Kids,long,1,6.764357591227792,67
21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",medium,24,7.248745872598903,537892
24675,Future Card Buddyfight Recap,Game,Special,1,5.636376128058556,277
3287,Tenkuu Danzai Skelter+Heaven,"Mecha, Sci-Fi",short,1,6.633682368138407,7680
3964,Turn A Gundam II Movie: Moonlight Butterfly,"Action, Drama, Mecha, Military, Sci-Fi, Space",long,1,6.937538318449396,2396
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Restricted,short,2,6.6198609585818335,3550
9558,Cheung gong chat hou,Kids,long,1,5.3256115264204285,215
3626,Mobile Suit Gundam Wing: Operation Meteor,"Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space",short,4,7.073111935873369,6768
6895,Hakuouki,"Action, Drama, Historical, Josei, Samurai, Supernatural",medium,12,7.142845713109464,90612
